Time,E,M,E/N,M/N
0,-3000.0,1000.0,-3.0,1.0
1,-2940.0,990.0,-2.94,0.99
2,-2848.0,974.0,-2.848,0.974
3,-2796.0,966.0,-2.796,0.966
4,-2740.0,956.0,-2.74,0.956
5,-2736.0,954.0,-2.736,0.954
6,-2700.0,948.0,-2.7,0.948
7,-2680.0,942.0,-2.68,0.942
8,-2636.0,932.0,-2.636,0.932
9,-2628.0,930.0,-2.628,0.93
10,-2572.0,922.0,-2.572,0.922
11,-2576.0,924.0,-2.576,0.924
12,-2528.0,912.0,-2.528,0.912
13,-2528.0,914.0,-2.528,0.914
14,-2504.0,908.0,-2.504,0.908
15,-2456.0,900.0,-2.456,0.9
16,-2468.0,900.0,-2.468,0.9
17,-2404.0,880.0,-2.404,0.88
18,-2396.0,878.0,-2.396,0.878
19,-2436.0,890.0,-2.436,0.89
20,-2468.0,900.0,-2.468,0.9
21,-2388.0,884.0,-2.388,0.884
22,-2388.0,882.0,-2.388,0.882
23,-2332.0,870.0,-2.332,0.87
24,-2380.0,882.0,-2.38,0.882
25,-2396.0,882.0,-2.396,0.882
26,-2384.0,880.0,-2.384,0.88
27,-2340.0,870.0,-2.34,0.87
28,-2308.0,860.0,-2.308,0.86
29,-2272.0,852.0,-2.272,0.852
30,-2232.0,844.0,-2.232,0.844
31,-2264.0,848.0,-2.264,0.848
32,-2260.0,844.0,-2.26,0.844
33,-2244.0,838.0,-2.244,0.838
34,-2248.0,846.0,-2.248,0.846
35,-2196.0,836.0,-2.196,0.836
36,-2140.0,820.0,-2.14,0.82
37,-2092.0,808.0,-2.092,0.808
38,-2172.0,826.0,-2.172,0.826
39,-2156.0,824.0,-2.156,0.824
40,-2160.0,828.0,-2.16,0.828
41,-2136.0,824.0,-2.136,0.824
42,-2212.0,836.0,-2.212,0.836
43,-2236.0,842.0,-2.236,0.842
44,-2224.0,838.0,-2.224,0.838
45,-2156.0,822.0,-2.156,0.822
46,-2128.0,816.0,-2.128,0.816
47,-2088.0,806.0,-2.088,0.806
48,-2116.0,816.0,-2.116,0.816
49,-2092.0,806.0,-2.092,0.806
50,-2032.0,794.0,-2.032,0.794
51,-2092.0,812.0,-2.092,0.812
52,-2136.0,824.0,-2.136,0.824
53,-2116.0,820.0,-2.116,0.82
54,-2128.0,824.0,-2.128,0.824
55,-2192.0,838.0,-2.192,0.838
56,-2204.0,842.0,-2.204,0.842
57,-2132.0,824.0,-2.132,0.824
58,-2152.0,828.0,-2.152,0.828
59,-2120.0,818.0,-2.12,0.818
60,-2124.0,816.0,-2.124,0.816
61,-2132.0,824.0,-2.132,0.824
62,-2152.0,824.0,-2.152,0.824
63,-2104.0,812.0,-2.104,0.812
64,-2120.0,818.0,-2.12,0.818
65,-2140.0,826.0,-2.14,0.826
66,-2132.0,820.0,-2.132,0.82
67,-2140.0,820.0,-2.14,0.82
68,-2140.0,824.0,-2.14,0.824
69,-2184.0,832.0,-2.184,0.832
70,-2184.0,830.0,-2.184,0.83
71,-2184.0,828.0,-2.184,0.828
72,-2196.0,830.0,-2.196,0.83
73,-2204.0,828.0,-2.204,0.828
74,-2240.0,840.0,-2.24,0.84
75,-2244.0,842.0,-2.244,0.842
76,-2264.0,850.0,-2.264,0.85
77,-2272.0,850.0,-2.272,0.85
78,-2288.0,850.0,-2.288,0.85
79,-2252.0,840.0,-2.252,0.84
80,-2216.0,838.0,-2.216,0.838
81,-2236.0,842.0,-2.236,0.842
82,-2204.0,832.0,-2.204,0.832
83,-2200.0,834.0,-2.2,0.834
84,-2244.0,844.0,-2.244,0.844
85,-2200.0,836.0,-2.2,0.836
86,-2224.0,840.0,-2.224,0.84
87,-2228.0,848.0,-2.228,0.848
88,-2244.0,852.0,-2.244,0.852
89,-2200.0,842.0,-2.2,0.842
90,-2172.0,830.0,-2.172,0.83
91,-2128.0,820.0,-2.128,0.82
92,-2084.0,808.0,-2.084,0.808
93,-2104.0,808.0,-2.104,0.808
94,-2080.0,804.0,-2.08,0.804
95,-2128.0,808.0,-2.128,0.808
96,-2204.0,828.0,-2.204,0.828
97,-2188.0,826.0,-2.188,0.826
98,-2136.0,812.0,-2.136,0.812
99,-2164.0,820.0,-2.164,0.82
100,-2100.0,812.0,-2.1,0.812
101,-2076.0,804.0,-2.076,0.804
102,-1992.0,782.0,-1.992,0.782
103,-2036.0,790.0,-2.036,0.79
104,-2024.0,794.0,-2.024,0.794
105,-2080.0,804.0,-2.08,0.804
106,-2040.0,792.0,-2.04,0.792
107,-2068.0,798.0,-2.068,0.798
108,-2036.0,796.0,-2.036,0.796
109,-2032.0,796.0,-2.032,0.796
110,-2068.0,806.0,-2.068,0.806
111,-2020.0,796.0,-2.02,0.796
112,-2068.0,808.0,-2.068,0.808
113,-2068.0,810.0,-2.068,0.81
114,-2136.0,828.0,-2.136,0.828
115,-2152.0,830.0,-2.152,0.83
116,-2204.0,840.0,-2.204,0.84
117,-2192.0,840.0,-2.192,0.84
118,-2156.0,832.0,-2.156,0.832
119,-2136.0,824.0,-2.136,0.824
120,-2164.0,834.0,-2.164,0.834
121,-2132.0,824.0,-2.132,0.824
122,-2148.0,826.0,-2.148,0.826
123,-2116.0,814.0,-2.116,0.814
124,-2108.0,816.0,-2.108,0.816
125,-2068.0,802.0,-2.068,0.802
126,-2152.0,822.0,-2.152,0.822
127,-2156.0,824.0,-2.156,0.824
128,-2100.0,812.0,-2.1,0.812
129,-2096.0,810.0,-2.096,0.81
130,-2116.0,810.0,-2.116,0.81
131,-2136.0,816.0,-2.136,0.816
132,-2164.0,822.0,-2.164,0.822
133,-2152.0,822.0,-2.152,0.822
134,-2128.0,818.0,-2.128,0.818
135,-2144.0,818.0,-2.144,0.818
136,-2116.0,808.0,-2.116,0.808
137,-2156.0,822.0,-2.156,0.822
138,-2144.0,820.0,-2.144,0.82
139,-2108.0,814.0,-2.108,0.814
140,-2112.0,812.0,-2.112,0.812
141,-2096.0,808.0,-2.096,0.808
142,-1976.0,780.0,-1.976,0.78
143,-1908.0,750.0,-1.908,0.75
144,-1940.0,768.0,-1.94,0.768
145,-1940.0,766.0,-1.94,0.766
146,-1928.0,766.0,-1.928,0.766
147,-1932.0,760.0,-1.932,0.76
148,-1948.0,760.0,-1.948,0.76
149,-1980.0,758.0,-1.98,0.758
150,-1956.0,752.0,-1.956,0.752
151,-1976.0,762.0,-1.976,0.762
152,-1976.0,760.0,-1.976,0.76
153,-1960.0,764.0,-1.96,0.764
154,-1936.0,756.0,-1.936,0.756
155,-1936.0,760.0,-1.936,0.76
156,-1924.0,762.0,-1.924,0.762
157,-1924.0,752.0,-1.924,0.752
158,-1892.0,748.0,-1.892,0.748
159,-1852.0,740.0,-1.852,0.74
160,-1892.0,752.0,-1.892,0.752
161,-1964.0,782.0,-1.964,0.782
162,-1936.0,772.0,-1.936,0.772
163,-1984.0,776.0,-1.984,0.776
164,-2000.0,784.0,-2.0,0.784
165,-1992.0,786.0,-1.992,0.786
166,-2024.0,788.0,-2.024,0.788
167,-1996.0,784.0,-1.996,0.784
168,-2000.0,778.0,-2.0,0.778
169,-1988.0,774.0,-1.988,0.774
170,-2036.0,776.0,-2.036,0.776
171,-2068.0,790.0,-2.068,0.79
172,-2080.0,800.0,-2.08,0.8
173,-2056.0,794.0,-2.056,0.794
174,-2088.0,800.0,-2.088,0.8
175,-2116.0,806.0,-2.116,0.806
176,-2096.0,802.0,-2.096,0.802
177,-2088.0,810.0,-2.088,0.81
178,-2064.0,806.0,-2.064,0.806
179,-2056.0,804.0,-2.056,0.804
180,-2068.0,806.0,-2.068,0.806
181,-2128.0,818.0,-2.128,0.818
182,-2128.0,818.0,-2.128,0.818
183,-2136.0,820.0,-2.136,0.82
184,-2100.0,812.0,-2.1,0.812
185,-2084.0,810.0,-2.084,0.81
186,-2056.0,798.0,-2.056,0.798
187,-2072.0,808.0,-2.072,0.808
188,-2048.0,810.0,-2.048,0.81
189,-2080.0,818.0,-2.08,0.818
190,-2024.0,800.0,-2.024,0.8
191,-2036.0,794.0,-2.036,0.794
192,-2064.0,804.0,-2.064,0.804
193,-2092.0,812.0,-2.092,0.812
194,-2076.0,814.0,-2.076,0.814
195,-2052.0,810.0,-2.052,0.81
196,-2052.0,810.0,-2.052,0.81
197,-2080.0,812.0,-2.08,0.812
198,-2028.0,800.0,-2.028,0.8
199,-2044.0,804.0,-2.044,0.804
200,-2028.0,798.0,-2.028,0.798
201,-2052.0,804.0,-2.052,0.804
202,-2008.0,788.0,-2.008,0.788
203,-1996.0,780.0,-1.996,0.78
204,-2024.0,782.0,-2.024,0.782
205,-1984.0,774.0,-1.984,0.774
206,-2064.0,792.0,-2.064,0.792
207,-2112.0,804.0,-2.112,0.804
208,-2084.0,802.0,-2.084,0.802
209,-2108.0,806.0,-2.108,0.806
210,-2080.0,802.0,-2.08,0.802
211,-2044.0,790.0,-2.044,0.79
212,-2020.0,782.0,-2.02,0.782
213,-1936.0,772.0,-1.936,0.772
214,-1908.0,768.0,-1.908,0.768
215,-1960.0,774.0,-1.96,0.774
216,-1924.0,774.0,-1.924,0.774
217,-1972.0,786.0,-1.972,0.786
218,-2000.0,788.0,-2.0,0.788
219,-2020.0,794.0,-2.02,0.794
220,-2040.0,794.0,-2.04,0.794
221,-1964.0,776.0,-1.964,0.776
222,-1928.0,764.0,-1.928,0.764
223,-1940.0,774.0,-1.94,0.774
224,-1916.0,768.0,-1.916,0.768
225,-1916.0,768.0,-1.916,0.768
226,-1840.0,748.0,-1.84,0.748
227,-1828.0,744.0,-1.828,0.744
228,-1892.0,752.0,-1.892,0.752
229,-1932.0,764.0,-1.932,0.764
230,-1964.0,770.0,-1.964,0.77
231,-1920.0,760.0,-1.92,0.76
232,-1896.0,748.0,-1.896,0.748
233,-1948.0,754.0,-1.948,0.754
234,-1988.0,758.0,-1.988,0.758
235,-2004.0,762.0,-2.004,0.762
236,-2012.0,768.0,-2.012,0.768
237,-1884.0,748.0,-1.884,0.748
238,-1860.0,744.0,-1.86,0.744
239,-1844.0,740.0,-1.844,0.74
240,-1844.0,744.0,-1.844,0.744
241,-1824.0,734.0,-1.824,0.734
242,-1836.0,738.0,-1.836,0.738
243,-1788.0,732.0,-1.788,0.732
244,-1760.0,718.0,-1.76,0.718
245,-1728.0,698.0,-1.728,0.698
246,-1736.0,700.0,-1.736,0.7
247,-1712.0,704.0,-1.712,0.704
248,-1736.0,706.0,-1.736,0.706
249,-1788.0,712.0,-1.788,0.712
250,-1748.0,708.0,-1.748,0.708
251,-1688.0,682.0,-1.688,0.682
252,-1648.0,674.0,-1.648,0.674
253,-1628.0,670.0,-1.628,0.67
254,-1592.0,658.0,-1.592,0.658
255,-1584.0,650.0,-1.584,0.65
256,-1612.0,662.0,-1.612,0.662
257,-1592.0,646.0,-1.592,0.646
258,-1556.0,628.0,-1.556,0.628
259,-1560.0,630.0,-1.56,0.63
260,-1560.0,636.0,-1.56,0.636
261,-1576.0,644.0,-1.576,0.644
262,-1604.0,648.0,-1.604,0.648
263,-1596.0,648.0,-1.596,0.648
264,-1584.0,642.0,-1.584,0.642
265,-1596.0,632.0,-1.596,0.632
266,-1612.0,630.0,-1.612,0.63
267,-1644.0,644.0,-1.644,0.644
268,-1608.0,634.0,-1.608,0.634
269,-1664.0,654.0,-1.664,0.654
270,-1640.0,642.0,-1.64,0.642
271,-1716.0,666.0,-1.716,0.666
272,-1732.0,672.0,-1.732,0.672
273,-1728.0,668.0,-1.728,0.668
274,-1720.0,664.0,-1.72,0.664
275,-1700.0,658.0,-1.7,0.658
276,-1688.0,648.0,-1.688,0.648
277,-1636.0,638.0,-1.636,0.638
278,-1656.0,646.0,-1.656,0.646
279,-1636.0,636.0,-1.636,0.636
280,-1668.0,652.0,-1.668,0.652
281,-1680.0,648.0,-1.68,0.648
282,-1672.0,630.0,-1.672,0.63
283,-1612.0,614.0,-1.612,0.614
284,-1648.0,620.0,-1.648,0.62
285,-1616.0,618.0,-1.616,0.618
286,-1580.0,620.0,-1.58,0.62
287,-1576.0,614.0,-1.576,0.614
288,-1540.0,620.0,-1.54,0.62
289,-1504.0,608.0,-1.504,0.608
290,-1468.0,584.0,-1.468,0.584
291,-1460.0,576.0,-1.46,0.576
292,-1472.0,588.0,-1.472,0.588
293,-1552.0,594.0,-1.552,0.594
294,-1512.0,586.0,-1.512,0.586
295,-1492.0,594.0,-1.492,0.594
296,-1552.0,624.0,-1.552,0.624
297,-1596.0,646.0,-1.596,0.646
298,-1612.0,658.0,-1.612,0.658
299,-1628.0,664.0,-1.628,0.664
300,-1724.0,686.0,-1.724,0.686
301,-1668.0,674.0,-1.668,0.674
302,-1696.0,684.0,-1.696,0.684
303,-1668.0,674.0,-1.668,0.674
304,-1640.0,662.0,-1.64,0.662
305,-1648.0,670.0,-1.648,0.67
306,-1660.0,688.0,-1.66,0.688
307,-1640.0,666.0,-1.64,0.666
308,-1656.0,658.0,-1.656,0.658
309,-1668.0,660.0,-1.668,0.66
310,-1676.0,666.0,-1.676,0.666
311,-1648.0,658.0,-1.648,0.658
312,-1668.0,666.0,-1.668,0.666
313,-1696.0,670.0,-1.696,0.67
314,-1692.0,668.0,-1.692,0.668
315,-1708.0,674.0,-1.708,0.674
316,-1772.0,690.0,-1.772,0.69
317,-1764.0,684.0,-1.764,0.684
318,-1792.0,684.0,-1.792,0.684
319,-1772.0,674.0,-1.772,0.674
320,-1740.0,666.0,-1.74,0.666
321,-1704.0,666.0,-1.704,0.666
322,-1708.0,672.0,-1.708,0.672
323,-1756.0,676.0,-1.756,0.676
324,-1792.0,690.0,-1.792,0.69
325,-1776.0,686.0,-1.776,0.686
326,-1812.0,700.0,-1.812,0.7
327,-1804.0,704.0,-1.804,0.704
328,-1812.0,710.0,-1.812,0.71
329,-1784.0,698.0,-1.784,0.698
330,-1828.0,714.0,-1.828,0.714
331,-1808.0,716.0,-1.808,0.716
332,-1796.0,720.0,-1.796,0.72
333,-1832.0,734.0,-1.832,0.734
334,-1840.0,728.0,-1.84,0.728
335,-1852.0,730.0,-1.852,0.73
336,-1848.0,720.0,-1.848,0.72
337,-1864.0,730.0,-1.864,0.73
338,-1852.0,732.0,-1.852,0.732
339,-1900.0,746.0,-1.9,0.746
340,-1964.0,768.0,-1.964,0.768
341,-1992.0,782.0,-1.992,0.782
342,-1920.0,764.0,-1.92,0.764
343,-1868.0,752.0,-1.868,0.752
344,-1832.0,744.0,-1.832,0.744
345,-1868.0,744.0,-1.868,0.744
346,-1892.0,740.0,-1.892,0.74
347,-1904.0,732.0,-1.904,0.732
